Number_of_followers,Number_of_friend,Total_of_tweets,Contain_Picture,Contain_hashtag,Listed_count,User_mentions,Contain_url,Retweet
615414,94,4386,0,1,216,0,1,1
25126,468,106431,0,0,209,0,1,1
27370085,78,2373,0,0,22983,0,1,1
27370085,78,2373,0,0,22983,0,1,1
796221,213,3912,0,0,247,0,1,1
3189,1071,124208,1,1,97,0,1,0
15897,301,29867,0,0,81,0,0,1
2725,156,184,0,0,8,0,1,1
2068,2156,26714,0,1,11,1,0,1
100933,892,68425,1,0,491,0,0,1
3189,1071,124208,0,0,97,0,1,0
287925,135,12807,0,0,171,1,1,1
2,1,53,0,0,0,1,1,0
1122012,72,163455,0,1,844,0,1,1
397058,279,64684,0,0,179,0,1,1
2046,484,43049,0,0,804,1,1,0
100,519,223,0,1,2,0,1,0
6,19,37,1,0,0,0,0,0
60753,29,40233,0,1,347,1,1,1
282667,74,21354,0,1,669,0,1,1
126,389,3225,0,0,2,0,1,0
6630,6836,9867,0,1,2,1,0,1
189,0,411,0,1,0,0,1,0
309480,4,5603,0,0,812,0,1,1
25,50,488,0,0,1,0,1,0
242,2291,1698,0,0,0,0,1,1
6806,0,18027,0,0,20,0,1,1
7,93,3776,1,1,1,0,1,0
29774,560,28839,0,0,71,0,1,1
414,406,2583,0,1,3,1,1,0
45,4,12035,0,0,8,0,1,0
432,191,22904,0,0,24,0,1,0
3403,282,6498,0,0,44,0,1,1
425,1448,18056,0,1,3,1,1,0
3674167,142,18799,0,0,1654,1,1,1
24587,160,7423,0,0,37,0,1,1
196,612,2269,0,0,0,1,1,0
100933,892,68425,1,0,491,0,0,1
1400,4997,2060,0,0,7,0,1,1
6536334,313,518910,1,1,6613,0,1,1
53665,47,342,0,1,81,0,1,1
5174020,277,22269,0,0,3279,0,1,1
5393,1449,10484,0,0,31,1,1,0
293187,293,28814,0,0,383,0,1,1
195,1011,7618,0,0,5,1,1,0
140197,110,4712,0,0,291,1,1,0
59530,341,21776,0,0,565,0,1,1
2539751,0,302003,0,1,3353,0,1,1
16526,429,17827,0,0,72,0,1,1
49971,2444,850297,0,0,290,1,1,1
75,18,37,0,0,0,1,1,0
355,495,60873,1,0,3,0,0,0
51702,65,4866,0,0,109,0,1,1
74018,36,96323,0,0,122,1,0,0
80624,666,56611,0,0,565,0,1,1
123205,785,3339,0,0,358,0,0,1
23,45,507,0,1,7,1,0,0
63377,181,9077,0,0,171,0,1,1
183095,997,108011,0,1,1543,0,1,1
27370085,78,2373,0,0,22983,0,1,1
75074,166,16419,0,0,159,1,1,1
17,34,3294,0,0,0,0,1,0
6537,139,2819,0,0,16,0,1,1
